Month,Cancelled,Delayed,Diverted,On Time
1,443,5021,31,13870
2,180,4264,15,12951
3,188,3385,18,15916
4,146,2637,8,15926
5,154,2821,14,16722
6,185,4057,14,15283
7,218,3910,8,16038
8,202,3589,15,16484
9,215,3167,12,15635
10,238,2961,12,16199
11,148,2877,2,15590
12,275,4465,22,14449
