Month,Cancelled,Delayed,Diverted,On Time
1,279,3393,22,15392
2,283,4044,40,13007
3,269,4893,17,14431
4,171,4226,10,14464
5,199,3535,17,16016
6,215,4033,17,15438
7,257,4329,48,15854
8,260,4953,27,15477
9,292,4168,15,14791
10,318,5049,23,14584
11,296,3857,12,14902
12,409,4591,12,14965
