Month,Cancelled,Delayed,Diverted,On Time
2,253,2672,22,14963
3,228,2556,9,16704
4,113,2460,18,16362
5,173,2976,15,16181
6,152,4192,15,14881
7,194,3849,12,16285
8,171,3981,9,16350
9,316,2219,74,16535
10,219,3793,18,15712
11,157,2756,24,16060
12,391,4952,31,14430
